0.120	-0.220	-0.240	0.260	0.000	0.100	0.140	0.200	
0.140	-0.200	-0.220	0.240	0.000	0.100	0.140	0.180	
0.160	-0.200	-0.240	0.220	-0.020	0.120	0.140	0.160	
0.180	-0.180	-0.260	0.200	-0.020	0.120	0.120	0.180	
0.180	-0.160	-0.240	0.180	0.000	0.100	0.120	0.180	
0.160	-0.140	-0.220	0.160	0.020	0.080	0.120	0.180	
0.140	-0.140	-0.240	0.180	0.040	0.060	0.140	0.180	
0.120	-0.160	-0.220	0.200	0.060	0.040	0.160	0.160	
0.100	-0.140	-0.200	0.220	0.080	0.040	0.160	0.180	
0.120	-0.160	-0.220	0.220	0.080	0.060	0.140	0.200	
0.120	-0.180	-0.200	0.200	0.080	0.040	0.140	0.220	
0.100	-0.160	-0.220	0.180	0.060	0.040	0.160	0.200	
0.100	-0.140	-0.200	0.160	0.040	0.060	0.180	0.220	
